Bike ID,Gender,Birth Year,Age,Trip Duration,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Start Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Stop Time
38906,Unknown,1969,55,760,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 06:43:06.8210,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 06:55:47.4820
47255,Male,2001,23,967,3679,Bergen Ave,40.722103786686034,-74.07145500183105,2021-01-01 06:47:51.4810,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,2021-01-01 07:03:58.8870
40093,Male,1982,42,286,3207,Oakland Ave,40.7376037,-74.0524783,2021-01-01 06:54:46.7420,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,2021-01-01 06:59:32.9050
48742,Female,1985,39,277,3267,Morris Canal,40.7124188237569,-74.03852552175522,2021-01-01 07:51:09.4780,3481,York St,40.71649,-74.04105,2021-01-01 07:55:47.2340
32526,Male,1962,62,121,3681,Grand St,40.71517767732029,-74.03768330812454,2021-01-01 08:52:17.3710,3275,Columbus Drive,40.71835519823214,-74.03891444206238,2021-01-01 08:54:18.6460
33677,Male,1981,43,266,3199,Newport Pkwy,40.7287448,-74.0321082,2021-01-01 09:18:10.0490,3187,Warren St,40.7211236,-74.03805095,2021-01-01 09:22:36.3110
41002,Female,1994,30,131,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 09:18:14.0830,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,2021-01-01 09:20:25.2580
47045,Female,1989,35,1471,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 09:26:19.7390,3206,Hilltop,40.7311689,-74.0575736,2021-01-01 09:50:51.5510
47257,Unknown,1969,55,1457,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2021-01-01 09:26:20.0900,3206,Hilltop,40.7311689,-74.0575736,2021-01-01 09:50:37.1450
31496,Male,1975,49,474,3194,McGinley Square,40.7253399253558,-74.06762212514877,2021-01-01 09:28:32.5270,3268,Lafayette Park,40.71346382669195,-74.06285852193832,2021-01-01 09:36:27.2640
48857,Male,1991,33,520,3268,Lafayette Park,40.71346382669195,-74.06285852193832,2021-01-01 09:31:53.8360,3185,City Hall,40.7177325,-74.043845,2021-01-01 09:40:34.1110
45340,Male,1976,48,526,3206,Hilltop,40.7311689,-74.0575736,2021-01-01 09:37:47.0090,3280,Astor Place,40.71928220070702,-74.07126188278198,2021-01-01 09:46:33.1660
46538,Unknown,1969,55,622,3225,Baldwin at Montgomery,40.7236589,-74.0641943,2021-01-01 09:40:43.7660,3638,Washington St,40.7242941,-74.0354826,2021-01-01 09:51:05.9800
42133,Unknown,1969,55,1361,3210,Pershing Field,40.742677141,-74.051788633,2021-01-01 09:53:23.8260,3681,Grand St,40.71517767732029,-74.03768330812454,2021-01-01 10:16:04.9040
